time,open,high,low,close,Senkou A,Senkou B,Buy,Sell,Volume,Volume MA
2022-04-21T23:25:00Z,40348.33,40449.39,40339.28,40427.29,41011.1325,41374.575,0,0,1.64023755,13.7635425
2022-04-21T23:30:00Z,40427.29,40464.61,40427.29,40438.95,41002.545,41354.01,0,0,0.7319814,13.78161507
2022-04-21T23:35:00Z,40432.26,40475.27,40432.26,40442.66,41001.695,41354.01,0,0,1.13394325,13.79835031
2022-04-21T23:40:00Z,40434.68,40482.91,40433,40476.23,40973.56,41354.01,0,0,0.26260801,13.60951894
2022-04-21T23:45:00Z,40477.42,40483.34,40425.07,40464.49,40959.1775,41354.01,0,0,1.86467581,13.69617441
2022-04-21T23:50:00Z,40455.28,40563.01,40455.28,40534.43,40932.89,41314.94,0,0,27.96922582,14.92922532
2022-04-21T23:55:00Z,40536.91,40539.19,40470.76,40470.76,40883.83,41308.855,0,0,5.50364491,15.17102193
2022-04-22T00:00:00Z,40497,40497,40237.07,40352.74,40883.83,41308.855,0,0,15.31131043,15.50899363
2022-04-22T00:05:00Z,40316.08,40491.31,40316.08,40425.32,40883.83,41308.855,0,0,2.23115826,14.47324935
2022-04-22T00:10:00Z,40463.39,40487.6,40393.86,40440.89,40883.83,41308.855,1,0,0.94834603,5.905112198
2022-04-22T00:15:00Z,40447.79,40451.99,40375.12,40412.88,40888.7525,41269.415,0,0,1.17460326,5.662020645
2022-04-22T00:20:00Z,40412.88,40448.39,40383.78,40429.95,40909.075,41249.795,0,1,2.06706814,4.4903148
2022-04-22T00:25:00Z,40456.33,40489.9,40450.79,40485.2,40911.33,41249.795,1,0,0.9970559,4.020533341
2022-04-22T00:30:00Z,40490.85,40644.1,40457.93,40644.1,40867.375,41249.795,0,0,15.02025576,4.756775578
2022-04-22T00:35:00Z,40609.42,40611.11,40544.12,40569.78,40867.0825,41249.795,0,0,3.16658977,4.717188808
2022-04-22T00:40:00Z,40588.95,40588.95,40397.14,40414.74,40860.955,41249.795,0,1,0.96563087,4.383657487
2022-04-22T00:45:00Z,40396.16,40396.16,40246.81,40379.78,40839.3075,41249.795,0,0,2.35967589,4.460065395
2022-04-22T00:50:00Z,40372.04,40450.01,40328.97,40440.29,40829.83,41249.795,0,0,2.56026118,4.5401178
2022-04-22T00:55:00Z,40445.08,40458.19,40405.95,40426.19,40678.8375,41111.405,0,0,1.86812889,4.414899575
2022-04-22T01:00:00Z,40445.72,40445.72,40374.82,40385.18,40419.45,40776.93,0,0,2.50065531,4.513852822
2022-04-22T01:05:00Z,40381.98,40473.29,40349.61,40473.29,40400.9675,40736.425,1,0,1.69044613,4.516363251
2022-04-22T01:10:00Z,40477.8,40481,40431.11,40451.89,40392.38,40736.425,0,0,0.69037809,4.514283085
2022-04-22T01:15:00Z,40453.09,40473.64,40332.43,40351.2,40392.38,40734.155,0,1,1.71503845,4.543337845
2022-04-22T01:20:00Z,40333.28,40378.78,40329.63,40370.77,40381.8575,40718.285,0,0,0.9099299,4.57570394
2022-04-22T01:25:00Z,40380.48,40426.53,40380.48,40418.15,40376.4025,40718.285,0,0,0.81833375,4.523386837
2022-04-22T01:30:00Z,40430.06,40441.2,40396.29,40396.29,40350.115,40718.285,0,0,2.71701985,3.260776538
2022-04-22T01:35:00Z,40385.11,40459.99,40385.11,40443.76,40297.66,40718.285,1,0,1.18257233,3.044722909
2022-04-22T01:40:00Z,40426.61,40434.59,40377.93,40434.59,40272.3225,40718.285,0,0,0.18831835,2.288573305
2022-04-22T01:45:00Z,40412.83,40486.8,40410.98,40481.6,40225.3775,40718.285,0,0,3.65641922,2.359836353
2022-04-22T01:50:00Z,40479.24,40549.99,40456.88,40520.97,40269.28,40718.285,0,0,5.51374368,2.588106236
2022-04-22T01:55:00Z,40544.41,40569.41,40510.66,40527.75,40328.7575,40718.285,0,0,4.42245271,2.750498708
2022-04-22T02:00:00Z,40535.81,40546.21,40524.66,40527.64,40357.3375,40718.285,0,0,2.88919425,2.791605014
2022-04-22T02:05:00Z,40521.6,40569.41,40506.39,40561.51,40355.1325,40716.585,0,0,0.63959687,2.773732062
2022-04-22T02:10:00Z,40569.41,40575.51,40522.69,40575.51,40354.315,40681.36,0,0,2.13321169,2.129379859
2022-04-22T02:15:00Z,40571.68,40571.68,40531.18,40566.21,40364.675,40663.505,0,0,1.91483309,2.066792025
2022-04-22T02:20:00Z,40553.33,40574.8,40530.89,40574.8,40380.1175,40663.505,0,1,0.29020469,2.033020716
2022-04-22T02:25:00Z,40562.81,40598.18,40514.91,40598.18,40380.1175,40663.505,0,0,1.21260233,1.975667038
2022-04-22T02:30:00Z,40575.91,40619.58,40571.54,40613.78,40352.66,40663.505,0,0,1.55328082,1.92531802
2022-04-22T02:35:00Z,40601.85,40641.84,40575.38,40600.92,40352.66,40663.505,0,0,3.2190868,1.992865915
2022-04-22T02:40:00Z,40591.48,40591.48,40551.25,40575.98,40349.3925,40663.505,0,0,1.11389387,1.923527843
2022-04-22T02:45:00Z,40566.77,40575.23,40521.94,40528.89,40343.5075,40663.505,0,0,1.49250812,1.913630943
2022-04-22T02:50:00Z,40489.98,40495.6,40450.95,40464.45,40343.5075,40663.505,0,0,0.72192385,1.915208231
2022-04-22T02:55:00Z,40459.51,40497.2,40459.51,40497.2,40343.5075,40663.505,0,0,0.27114617,1.843013617
2022-04-22T03:00:00Z,40500.09,40500.09,40458.04,40475.6,40363.78,40620.745,0,0,3.03784068,1.949409156
2022-04-22T03:05:00Z,40475.6,40533.33,40475.6,40524.6,40363.78,40620.16,0,0,0.88879247,1.952932092
2022-04-22T03:10:00Z,40530.61,40560.67,40503.6,40551.75,40363.78,40607.905,1,0,0.32698648,1.833430423
2022-04-22T03:15:00Z,40557.69,40584.66,40524.4,40558.63,40360.385,40564.61,0,0,2.78471488,1.913537551
2022-04-22T03:20:00Z,40549,40553.9,40535,40548.78,40337.4825,40549.465,0,0,0.43350595,1.925796931
2022-04-22T03:25:00Z,40551.22,40552.55,40519.75,40520.81,40326.2525,40540.155,0,1,0.23620862,1.754786401
2022-04-22T03:30:00Z,40524.43,40535.92,40458.62,40471.1,40370.155,40540.155,0,0,0.452004,1.501699417
